,id,title
0,23880,部首
1,159785,郵便
2,140105,ポスト
3,27577,郵便局
4,38233,ゆうちょ銀行
5,14868,都下
6,44452,津山事件
7,181593,都市
8,16297,都内某所
9,16389,都営・営団戦争
10,16330,都営地下鉄三田線
11,14588,都営地下鉄
12,14754,都営地下鉄三田線
13,14205,都営地下鉄大江戸線
14,16328,都営地下鉄新宿線
15,14670,都営地下鉄浅草線
16,16332,都営地下鉄大江戸線
17,16331,都営地下鉄新宿線
18,16329,都営地下鉄浅草線
19,151371,宮崎県立都城工業高等学校
20,89458,都城市
21,171849,都城泉ヶ丘高等学校
22,4968,都市
23,4084,都市伝説
24,21780,都市化
25,30058,世界都市博覧会
26,81146,都市圏三大騒音
27,134591,都市型野猿群
28,24992,新宿区
29,24920,都庁ロボ
30,128023,都筑区
31,21365,都道府県
32,47613,配送テロ
33,5713,酒
34,81756,酒々井町
35,59501,酒井忠次
36,92035,酒井忠清
37,80966,のりP (人物)
38,20091,酒井省吾
39,35670,酒井香奈子
40,109997,酒呑童子
41,138472,飲み会
42,105422,杉玉
43,141057,飲酒運転
44,145047,酒池肉林
45,34684,酒瓶
46,7007,酒鬼薔薇聖斗
47,159839,酔っ払い
48,160047,飲酒運転
49,159823,酔っ払い
50,160048,飲酒運転
51,159918,酔っ払い
52,34746,酔拳
53,144087,酢
54,25957,酢昆布
55,160557,酢豆腐
56,16769,酢豚
57,129744,酵素
58,63758,酷使様
59,157672,猛暑
60,109178,酷道
61,41839,酸と塩基
62,41837,酸と塩基
63,23967,酸化
64,95338,酸化ンシオン
65,22206,DHMO
66,127685,酸性雨
67,16476,酸素
68,13206,醗酵
69,125812,不細工
70,97190,醜悪な記事
71,2537,醤油
72,5535,釈迦
73,48257,里見の謎
74,12651,重い
75,30522,重いページ
76,136796,重力
77,148470,重力子
78,149749,重力波
79,18398,重機人間ユンボル
80,6302,重複
81,166438,重要参考人探偵
82,134714,日本の重要無形文化財
83,116799,野々市
84,61651,野々市
85,116798,野々市
86,138367,野々村竜太郎
87,109086,野ブタ。をプロデュース
88,78848,野上電気鉄道
89,115205,野上電気鉄道
90,25396,手塚まき
91,3226,野中藍
92,3943,野原しんのすけ
93,18072,野原ひろし
94,18450,野原みさえ
95,4975,野口英世
96,22318,野口英昭
97,59616,野坂昭如
98,78134,ロック・フェスティバル
99,109844,野岩鉄道
100,60355,兄者 (声優)
101,10193,野川さくら
102,78167,野性の闘牌 鰻
103,100521,野戦任官
104,156169,野戦病院
105,112122,レーション
106,45834,野望の王国
107,18790,野村克也
108,54055,野村克也
109,128169,野次馬
110,101139,野比のび助
111,2462,里予ﾋﾋ∞ひ伏
112,11605,野比玉子
113,129147,野獣先輩
114,2997,野球
115,29511,野球のポジション
116,60380,野球害毒論
117,179697,科学戦隊ダイナマン
118,105382,野球拳
119,60382,野球害毒論
120,101468,野球観戦
121,133304,焼き豚
122,21009,野球部
123,13012,野田
124,114759,どじょう
125,11275,野田市
126,24526,野田犬
127,19378,野田聖子
128,47826,野糞
129,99562,野菜
130,178181,野迫川村
131,86579,量子コンピュータ
132,11231,漁師力学
133,106913,漁師力学
134,90800,漁師力学
135,14336,金
136,20656,金 (ネオ元素)
137,16742,金 (金属)
138,170207,金でしか動かない奴
139,93284,金のなる木
140,46459,金の斧
141,106302,金正恩
142,100224,金プラ
143,52355,金ヶ崎の戦い
144,27834,金万一
145,91574,金上盛備
146,93599,金上盛備
147,172688,3年B組金八先生
148,38922,金剛番長
149,166006,金塊
150,116571,金太郎
151,92415,金太郎 (史実)
152,94249,金子みすゞ
153,94244,金子みすゞ
154,179224,金子みすゞ
155,143165,金子一馬
156,128323,金子哲雄
157,45522,金子誠
158,173396,金属
159,85287,金属泥棒
160,143604,金属石鹸
161,163235,金山駅 (愛知県)
162,89626,金庫
163,47699,荊州四英傑
164,5427,金日成
165,138805,金日成語録
166,11034,金星
167,24977,金星人
168,179024,金曜日
169,9279,金曜日
170,43729,金未来杯
171,20658,金本位制
172,21510,金本知憲
173,150823,金栗四三
174,123544,金鎚
175,102962,金正恩
176,365,金正日
177,28,金正日将軍様の武勇伝
178,11067,金正男
179,102978,金正恩
180,102977,金正恩
181,177907,金王国
182,13093,金沢市
183,123267,金沢スーサイドライン
184,127917,金沢区
185,54846,金沢大学
186,9434,金沢工業大学
187,4278,金沢市
188,42018,石川県
189,3891,金玉
190,106094,金玉 (秘書)
191,112812,金玉均
192,80941,金玉潰し
193,126646,金王国
194,122534,金環日食
195,30981,金田一少年の事件簿
196,28296,金田一少年の事件簿
197,18891,金田朋子
198,27847,金的
199,47450,金盾
200,178883,金科玉条
201,12002,金糸雀
202,16256,金縛り
203,177244,金
204,55158,金色のガッシュ!!
205,29876,金色のガッシュ!!
206,2908,金色のガッシュ!!
207,135268,金融
208,65774,金親和行
209,35549,金的
210,86844,金釘流
211,33887,貨幣
212,84990,金鎚
213,136873,ゴールデンゲートブリッジ
214,32253,金閣寺
215,6116,金閣寺
216,172275,ヒトの髪の色
217,49229,キンギョ
218,164515,大日本除蟲菊
219,33270,釘宮
220,17265,釘宮理恵
221,25003,釘宮病
222,32224,釘宮病
223,132576,釜山オリンピック招致問題
224,47107,釜石市
225,41505,釜石市
226,58293,釜石県
227,97800,ムツアゲハ
228,143463,針の上で天使は何人踊れるか
229,158291,針棘クレミーと王の庭
